max.pop	max.age	min.rep	max.rep	fertility	survival.time
4	80	20	40	0.2	72
8	80	20	40	0.2	70
12	80	20	40	0.2	76
16	80	20	40	0.2	1405
20	80	20	40	0.2	614
24	80	20	40	0.2	1168
28	80	20	40	0.2	108
32	80	20	40	0.2	1505
4	80	20	40	0.2	52
8	80	20	40	0.2	183
12	80	20	40	0.2	275
16	80	20	40	0.2	483
20	80	20	40	0.2	1419
24	80	20	40	0.2	325
28	80	20	40	0.2	1634
32	80	20	40	0.2	5919
4	80	20	40	0.2	138
8	80	20	40	0.2	123
12	80	20	40	0.2	363
16	80	20	40	0.2	1436
20	80	20	40	0.2	78
24	80	20	40	0.2	2261
28	80	20	40	0.2	10339
32	80	20	40	0.2	1057
4	80	20	40	0.2	45
8	80	20	40	0.2	61
12	80	20	40	0.2	144
16	80	20	40	0.2	196
20	80	20	40	0.2	1062
24	80	20	40	0.2	1621
28	80	20	40	0.2	1071
32	80	20	40	0.2	2613
4	80	20	40	0.2	69
8	80	20	40	0.2	154
12	80	20	40	0.2	97
16	80	20	40	0.2	81
20	80	20	40	0.2	178
24	80	20	40	0.2	1572
28	80	20	40	0.2	1402
32	80	20	40	0.2	677
4	80	20	40	0.2	57
8	80	20	40	0.2	90
12	80	20	40	0.2	139
16	80	20	40	0.2	376
20	80	20	40	0.2	1943
24	80	20	40	0.2	1350
28	80	20	40	0.2	392
32	80	20	40	0.2	4333
4	80	20	40	0.2	47
8	80	20	40	0.2	66
12	80	20	40	0.2	376
16	80	20	40	0.2	85
20	80	20	40	0.2	738
24	80	20	40	0.2	4250
28	80	20	40	0.2	7995
32	80	20	40	0.2	3429
4	80	20	40	0.2	89
8	80	20	40	0.2	399
12	80	20	40	0.2	166
16	80	20	40	0.2	352
20	80	20	40	0.2	1458
24	80	20	40	0.2	220
28	80	20	40	0.2	5918
32	80	20	40	0.2	11098
4	80	20	40	0.2	106
8	80	20	40	0.2	579
12	80	20	40	0.2	247
16	80	20	40	0.2	593
20	80	20	40	0.2	1531
24	80	20	40	0.2	2355
28	80	20	40	0.2	305
32	80	20	40	0.2	2974
4	80	20	40	0.2	73
8	80	20	40	0.2	102
12	80	20	40	0.2	83
16	80	20	40	0.2	604
20	80	20	40	0.2	1182
24	80	20	40	0.2	1142
28	80	20	40	0.2	3992
32	80	20	40	0.2	1130
4	80	20	40	0.2	22
8	80	20	40	0.2	151
12	80	20	40	0.2	266
16	80	20	40	0.2	295
20	80	20	40	0.2	1513
24	80	20	40	0.2	177
28	80	20	40	0.2	225
32	80	20	40	0.2	7613
4	80	20	40	0.2	51
8	80	20	40	0.2	106
12	80	20	40	0.2	438
16	80	20	40	0.2	364
20	80	20	40	0.2	829
24	80	20	40	0.2	769
28	80	20	40	0.2	4508
32	80	20	40	0.2	1483
4	80	20	40	0.2	104
8	80	20	40	0.2	85
12	80	20	40	0.2	169
16	80	20	40	0.2	449
20	80	20	40	0.2	231
24	80	20	40	0.2	1309
28	80	20	40	0.2	2223
32	80	20	40	0.2	1364
4	80	20	40	0.2	95
8	80	20	40	0.2	42
12	80	20	40	0.2	194
16	80	20	40	0.2	295
20	80	20	40	0.2	116
24	80	20	40	0.2	153
28	80	20	40	0.2	556
32	80	20	40	0.2	6199
4	80	20	40	0.2	84
8	80	20	40	0.2	66
12	80	20	40	0.2	402
16	80	20	40	0.2	81
20	80	20	40	0.2	541
24	80	20	40	0.2	2162
28	80	20	40	0.2	1333
32	80	20	40	0.2	9717
4	80	20	40	0.2	32
8	80	20	40	0.2	81
12	80	20	40	0.2	238
16	80	20	40	0.2	1117
20	80	20	40	0.2	222
24	80	20	40	0.2	584
28	80	20	40	0.2	2450
32	80	20	40	0.2	809
4	80	20	40	0.2	66
8	80	20	40	0.2	91
12	80	20	40	0.2	155
16	80	20	40	0.2	1582
20	80	20	40	0.2	527
24	80	20	40	0.2	1358
28	80	20	40	0.2	904
32	80	20	40	0.2	2568
4	80	20	40	0.2	72
8	80	20	40	0.2	219
12	80	20	40	0.2	126
16	80	20	40	0.2	199
20	80	20	40	0.2	387
24	80	20	40	0.2	529
28	80	20	40	0.2	2032
32	80	20	40	0.2	6020
4	80	20	40	0.2	34
8	80	20	40	0.2	63
12	80	20	40	0.2	60
16	80	20	40	0.2	528
20	80	20	40	0.2	859
24	80	20	40	0.2	953
28	80	20	40	0.2	624
32	80	20	40	0.2	5909
4	80	20	40	0.2	148
8	80	20	40	0.2	78
12	80	20	40	0.2	555
16	80	20	40	0.2	352
20	80	20	40	0.2	1727
24	80	20	40	0.2	159
28	80	20	40	0.2	6035
32	80	20	40	0.2	1987
4	80	20	40	0.2	145
8	80	20	40	0.2	66
12	80	20	40	0.2	562
16	80	20	40	0.2	451
20	80	20	40	0.2	624
24	80	20	40	0.2	334
28	80	20	40	0.2	140
32	80	20	40	0.2	513
